"","x","meanr","lclr","uclr"
"1",0,1,1,1
"2",1,1,1,1
"3",2,1,1,1
"4",3,1.01277118905211,1.00791505357587,1.01765072139268
"5",4,1.02995541627073,1.01850573004071,1.04153381588046
"6",5,1.04467176195526,1.02752235486443,1.06210739363495
"7",6,1.05770287712711,1.03546636446534,1.08041691615992
"8",7,1.06951743962331,1.04263675857498,1.09709114344076
"9",8,1.08041808641852,1.04922592242011,1.11253755413114
"10",9,1.09061133219609,1.05536473540665,1.12703507897317
"11",10,1.10024417369071,1.06114610738046,1.14078281333819
"12",11,1.10942478189046,1.06663824488924,1.1539276343879
"13",12,1.11823492188425,1.07189259352942,1.16658081982274
"14",13,1.12673777580533,1.07694882927381,1.17882853940498
"15",14,1.13498306984039,1.08183812302354,1.190738744928
"16",15,1.14301054809388,1.08658534845926,1.20236584719866
"17",16,1.15085239399226,1.09121061840036,1.2137539815176
"18",17,1.15853495983395,1.095730380496,1.22493934370048
"19",18,1.16608002876467,1.10015821556532,1.23595189695975
"20",19,1.17350575301644,1.1045054303566,1.24681664255655
"21",20,1.18082736317132,1.10878150509492,1.25755458149959
"22",21,1.18805771237898,1.11299443649013,1.26818345327435
"23",22,1.19520769957795,1.11715100419348,1.27871831092496
"24",23,1.20228660265244,1.12125698033316,1.28917197419636
"25",24,1.20930234361974,1.12531729613423,1.29955539056228
"26",25,1.2162617018759,1.12933617577237,1.30987792579863
"27",26,1.22317048729147,1.13331724492029,1.32014760005357
"28",27,1.23003368194466,1.13726361954025,1.33037128131293
"29",28,1.23685555711817,1.14117797910638,1.34055484524161
"30",29,1.24363977061039,1.14506262744319,1.35070330825255
"31",30,1.25038944825052,1.14891954363177,1.36082093908339
"32",31,1.25710725263945,1.15275042488744,1.37091135298693
"33",32,1.26379544148587,1.15655672289987,1.38097759175685
"34",33,1.27045591740936,1.16033967481336,1.39102219213531
"35",34,1.27709027070077,1.16410032978408,1.40104724463146
"36",35,1.28369981623444,1.16783957186488,1.41105444437791
"37",36,1.29028562549637,1.17155813982321,1.42104513533899
"38",37,1.2968485545108,1.17525664438344,1.43102034893753
"39",38,1.30338926830421,1.17893558329476,1.44098083797157
"40",39,1.30990826243155,1.18259535455383,1.45092710653663
"41",40,1.31640588199729,1.1862362680539,1.46085943654381
"42",41,1.32288233853042,1.18985855588576,1.47077791132322
"43",42,1.32933772501237,1.19346238147799,1.48068243672048
"44",43,1.33577202930777,1.19704784773388,1.49057276002693
"45",44,1.34218514620838,1.20061500429674,1.50044848702987
"46",45,1.34857688826722,1.20416385405527,1.51030909742373
"47",46,1.3549469955729,1.20769435898323,1.52015395878614
"48",47,1.36129514459173,1.21120644539382,1.52998233929186
"49",48,1.36762095618608,1.21470000867732,1.5397934193118
"50",49,1.37392400290219,1.2181749175807,1.54958630202278
"51",50,1.38020381560713,1.2216310180798,1.55936002313594
"52",51,1.38645988954374,1.22506813688774,1.56911355983605
"53",52,1.39269168986296,1.2284860846372,1.57884583901179
"54",53,1.3988986566852,1.23188465876966,1.58855574484557
"55",54,1.40508020973557,1.23526364615996,1.59824212582299
"56",55,1.41123575259204,1.23862282550159,1.60790380121367
"57",56,1.41736467658111,1.24196196947448,1.61753956706896
"58",57,1.42346636435095,1.24528084671492,1.62714820177617
"59",58,1.42954019314879,1.24857922360473,1.63672847120418
"60",59,1.43558553782613,1.25185686589491,1.64627913347128
"61",60,1.4416017735928,1.25511354017758,1.65579894336242
"62",61,1.44758827853858,1.25834901521821,1.66528665642013
"63",62,1.45354443593925,1.26156306315914,1.67474103273062
"64",63,1.45946963636219,1.26475546060442,1.68416084042464
"65",64,1.46536327958527,1.26792598959463,1.69354485891041
"66",65,1.47122477634133,1.27107443848012,1.70289188185452
"67",66,1.47705354989982,1.27420060269979,1.71220071992517
"68",67,1.48284903749579,1.27730428547236,1.72147020331107
"69",68,1.48861069161588,1.28038529840629,1.73069918402791
"70",69,1.49433798115011,1.28344346203413,1.73988653802377
"71",70,1.50003039241779,1.28647860627646,1.74903116709391
"72",71,1.50568743007487,1.28949057084054,1.75813200061455
"73",72,1.51130861791025,1.29247920555803,1.76718799710488
"74",73,1.51689349953738,1.29544437066619,1.77619814562588
"75",74,1.52244163898768,1.29838593703643,1.78516146702416
"76",75,1.52795262121154,1.301303786354,1.79407701502846
"77",76,1.53342605249265,1.30419781125229,1.80294387720632
"78",77,1.53886156078088,1.30706791540501,1.811761175788
"79",78,1.54425879594874,1.3099140135794,1.82052806836432
"80",79,1.54961742997638,1.31273603165329,1.82924374846505
"81",80,1.55493715706953,1.31553390659888,1.83790744602426
"82",81,1.56021769371488,1.31830758643576,1.84651842773839
"83",82,1.56545877867702,1.32105703015567,1.85507599732327
"84",83,1.57066017294101,1.32378220762126,1.86357949567555
"85",84,1.5758216596043,1.32648309944121,1.87202830094415
"86",85,1.58094304372173,1.32915969682358,1.88042182851704
"87",86,1.58602415210717,1.33181200140956,1.88875953092849
"88",87,1.59106483309499,1.33444002508939,1.8970408976919
"89",88,1.59606495626478,1.33704378980218,1.9052654550629
"90",89,1.60102441213222,1.33962332732143,1.91343276573766
"91",90,1.60594311180916,1.34217867902771,1.92154242849067
"92",91,1.61082098663561,1.34470989567006,1.92959407775667
"93",92,1.61565798778643,1.34721703711749,1.93758738316077
"94",93,1.6204540858552,1.34970017210194,1.94552204900103
"95",94,1.62520927041779,1.35215937795387,1.95339781368733
"96",95,1.62992354957783,1.3545947403318,1.96121444914046
"97",96,1.6345969494964,1.35700635294672,1.96897176015494
"98",97,1.63922951390801,1.3593943172826,1.97666958372939
